Title,Description,Map Link,Active,Room Location,Asset,Desk Location,Capacity,RoomPicture,Division,POC,VTel,Projector/TV,Smart Board,SecondPOC,Floor,Created By
"Bldg. 6, RM317, Desk 10",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 11",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 12",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 13",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 14",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 15",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 6, RM317, Desk 16",,,1,"Bldg. 6, RM317",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205",,,1,"Bldg. 9, RM205",Room,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 1 ",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 2",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 3",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 4",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 5",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 6",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 7",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 8",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 9",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 10",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 11",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 12",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 13",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 14",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
